male_tag,female_tag,date,birth,littersize,male_genotype,female_genotype,loc
12854,12851,12/5/19,12/24/19,5,P1x,P1x,4K
13260,12849,12/5/19,12/24/19,-,P1x,P1x,4J
LR,11633,12/9/19,1/1/20,,AcanCreER,P1Fx,4M
LL,12167-15003,12/9/19,1/1/20,,AcanCreER,P1Fx,4N
12854,14995,12/18/19,1/10/20,,P1x,B6,3H
12854,14997,12/18/19,,,P1x,B6,4H
13260,14996,12/18/19,,,P1x,B6,3I
13260,14998,12/18/19,1/7/20,,P1x,B6,4I
15002,13179,1/2/20,,,AcanCreER,P1Fx,3M
15002,13180,1/2/20,,,AcanCreER,P1Fx,3M
12267,15001,1/2/20,,,P1Fx,AcanCreER,3N
LL,9933,1/3/20,,,AcanCreER,P1 fl,3K
LR,9934,1/3/20,,,AcanCreER,P1 fl,3J
15000,14999,1/3/20,,,B6,AcanCreER,3L
LL,11841,1/28/20,,,AcanCreER,P1 fl,4J